timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1659068343788,1138,allpages,200,OK,Thread Group 1-1,text,true,,53180,133,7,7,http://www.bsmrstu.edu.bd/dev/notice/,634,0,286
1659068343788,1240,allpages,200,OK,Thread Group 1-2,text,true,,53007,133,8,8,http://www.bsmrstu.edu.bd/dev/notice/,670,0,309
1659068343999,1117,allpages,200,OK,Thread Group 1-3,text,true,,52702,133,8,8,http://www.bsmrstu.edu.bd/dev/notice/,604,0,247
1659068344195,1161,allpages,200,OK,Thread Group 1-4,text,true,,52538,133,9,9,http://www.bsmrstu.edu.bd/dev/notice/,609,0,267
1659068344395,1158,allpages,200,OK,Thread Group 1-5,text,true,,52937,133,10,10,http://www.bsmrstu.edu.bd/dev/notice/,608,0,277
1659068344587,1081,allpages,200,OK,Thread Group 1-6,text,true,,52841,133,10,10,http://www.bsmrstu.edu.bd/dev/notice/,555,0,247
1659068344788,1183,allpages,200,OK,Thread Group 1-7,text,true,,52441,133,10,10,http://www.bsmrstu.edu.bd/dev/notice/,624,0,273
1659068344984,1176,allpages,200,OK,Thread Group 1-8,text,true,,53497,133,10,10,http://www.bsmrstu.edu.bd/dev/notice/,630,0,283
1659068344935,1593,home,200,OK,Thread Group 1-1,text,true,,195695,124,10,10,http://www.bsmrstu.edu.bd/s/,320,0,0
1659068345182,1372,allpages,200,OK,Thread Group 1-9,text,true,,52947,133,10,10,http://www.bsmrstu.edu.bd/dev/notice/,620,0,278
1659068345385,1396,allpages,200,OK,Thread Group 1-10,text,true,,52654,133,10,10,http://www.bsmrstu.edu.bd/dev/notice/,584,0,257
1659068346530,433,cse,200,OK,Thread Group 1-1,text,false,Test failed: text expected to contain /20/,10164,138,10,10,http://www.bsmrstu.edu.bd/dev/dept/?id=cse,433,0,0
1659068345117,1846,home,200,OK,Thread Group 1-3,text,true,,195695,124,10,10,http://www.bsmrstu.edu.bd/s/,330,0,0
1659068345032,2077,home,200,OK,Thread Group 1-2,text,true,,195713,124,10,10,http://www.bsmrstu.edu.bd/s/,373,0,0
1659068345358,1831,home,200,OK,Thread Group 1-4,text,true,,195695,124,10,10,http://www.bsmrstu.edu.bd/s/,345,0,0
1659068346964,451,eee,200,OK,Thread Group 1-1,text,true,,10824,138,10,10,http://www.bsmrstu.edu.bd/dev/dept/?id=eee,402,0,0
1659068346971,471,cse,200,OK,Thread Group 1-3,text,false,Test failed: text expected to contain /20/,10176,138,10,10,http://www.bsmrstu.edu.bd/dev/dept/?id=cse,448,0,0
1659068347112,431,cse,200,OK,Thread Group 1-2,text,false,Test failed: text expected to contain /20/,10178,138,10,10,http://www.bsmrstu.edu.bd/dev/dept/?id=cse,412,0,0
1659068347191,464,cse,200,OK,Thread Group 1-4,text,false,Test failed: text expected to contain /20/,10312,138,10,10,http://www.bsmrstu.edu.bd/dev/dept/?id=cse,452,0,0
1659068345554,2163,home,200,OK,Thread Group 1-5,text,true,,195695,124,10,10,http://www.bsmrstu.edu.bd/s/,349,0,0
1659068345669,2176,home,200,OK,Thread Group 1-6,text,true,,195695,124,10,10,http://www.bsmrstu.edu.bd/s/,345,0,0
1659068347443,439,eee,200,OK,Thread Group 1-3,text,true,,10823,138,10,10,http://www.bsmrstu.edu.bd/dev/dept/?id=eee,413,0,0
1659068347544,411,eee,200,OK,Thread Group 1-2,text,true,,10792,138,10,10,http://www.bsmrstu.edu.bd/dev/dept/?id=eee,397,0,0
